price,ram,internal_memory,screen_size,refresh_rate,camera_main_resolution,camera_count,battery_capacity,security,screen_tech_grouped_Dynamic AMOLED,screen_tech_grouped_Dynamic AMOLED 2X,screen_tech_grouped_Dynamic LTPO AMOLED 2X,screen_tech_grouped_Flexible AMOLED On-cell,screen_tech_grouped_Fluid AMOLED,screen_tech_grouped_IPS LCD,screen_tech_grouped_LCD,screen_tech_grouped_LTPO AMOLED,screen_tech_grouped_LTPO OLED,screen_tech_grouped_LTPO Super Retina XDR OLED,screen_tech_grouped_LTPO2 AMOLED,screen_tech_grouped_OLED,screen_tech_grouped_Other,screen_tech_grouped_P-OLED,screen_tech_grouped_PLS LCD,screen_tech_grouped_Super AMOLED,screen_tech_grouped_Super AMOLED Plus,screen_tech_grouped_Super Retina XDR,screen_tech_grouped_Super Retina XDR OLED,screen_tech_grouped_TFT LCD,screen_resolution_k_2K,screen_resolution_k_FHD,screen_resolution_k_HD,screen_resolution_k_Unknown,brand_grouped_Honor,brand_grouped_Nubia,brand_grouped_OPPO,brand_grouped_OnePlus,brand_grouped_Other,brand_grouped_Realme,brand_grouped_Samsung,brand_grouped_Tecno,brand_grouped_Vivo,brand_grouped_Xiaomi,chip_model_grouped_A19 Bionic,chip_model_grouped_Dimensity 6300,chip_model_grouped_M6225,chip_model_grouped_M8450,chip_model_grouped_M8475,chip_model_grouped_M8550,chip_model_grouped_M8650,chip_model_grouped_M8750,chip_model_grouped_Other,chip_model_grouped_Snapdragon 8 elite,os_iOS,price_category_encoded
34590000.0,12.0,256.0,6.3,120.0,48,5.0,3582.0,Face ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
37990000.0,12.0,256.0,6.9,120.0,48,5.0,4685.0,Face ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
32990000.0,12.0,256.0,6.9,120.0,200,4.0,5000.0,Vân tay,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
22990000.0,12.0,256.0,6.3,120.0,50,3.0,4300.0,Vân tay,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
24990000.0,12.0,256.0,6.5,120.0,48,1.0,3561.0,"Vân tay, Face ID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
24690000.0,12.0,256.0,6.3,120.0,48,3.0,3561.0,"Vân tay, Face ID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
23990000.0,12.0,256.0,6.9,120.0,50,2.0,4300.0,"Vân tay, Face ID",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
41990000.0,12.0,256.0,8.0,120.0,200,3.0,4400.0,"Vân tay, Face ID",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
18090000.0,6.0,128.0,6.1,60.0,48,2.0,3349.0,"Vân tay, Face ID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3
28990000.0,12.0,256.0,6.9,120.0,200,4.0,5000.0,"Vân tay, Face ID",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
12990000.0,12.0,512.0,6.67,144.0,50,3.0,5000.0,"Vân tay, Face ID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
11990000.0,8.0,256.0,6.57,120.0,50,3.0,7000.0,"Vân tay, Face ID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
16990000.0,12.0,256.0,6.59,120.0,50,3.0,6500.0,"Vân tay, Face ID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
17990000.0,12.0,256.0,6.1,120.0,48,2.0,3561.0,Face ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
34990000.0,12.0,512.0,6.9,120.0,200,4.0,5000.0,Vân tay,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
31390000.0,8.0,256.0,6.9,120.0,48,3.0,4685.0,Face ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
6690000.0,12.0,256.0,6.8,120.0,50,2.0,6000.0,Vân tay,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
