source,url,name,price_raw,price_vnd,brand,type,is_gaming,is_wireless,has_mic,connection,battery_life_hours,weight_gram,battery_applicable,type_was_missing,connection_was_missing,battery_life_hours_was_missing,weight_gram_was_missing,price_vnd_capped,price_vnd_original,brand_grouped,connection_grouped,price_per_gram,price_per_battery_hour
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-sony-wh-1000xm6.html,Tai nghe Bluetooth chụp tai Sony WH-1000XM6,11.990.000đ,2.2823129251700682,Sony,over-ear,0,1,0,3.5mm+Bluetooth,0.6842105263157895,1.0004675081813932,1,0,0,0,0,7900000,11990000,Sony,3.5mm+Bluetooth,31102.36220472441,197500.0
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-sennheiser-hdb-630.html,Tai nghe chụp tai Sennheiser HDB 630,14.900.000đ,2.2823129251700682,Sennheiser,over-ear,0,0,0,3.5mm,,0.9256661991584852,0,0,1,0,0,7900000,14900000,Sennheiser,3.5mm,33193.27731092437,
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-sony-wh-1000xm5.html,Tai nghe Bluetooth chụp tai Sony WH-1000XM5,7.990.000đ,2.2823129251700682,Sony,over-ear,0,1,1,Bluetooth,0.6842105263157895,0.9817671809256662,1,0,0,0,0,7900000,7990000,Sony,Bluetooth,31600.0,197500.0
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-sony-wh-ch520.html,Tai nghe Bluetooth chụp tai Sony WH-CH520,1.290.000đ,0.034013605442176874,Sony,over-ear,0,1,0,Bluetooth,1.2105263157894737,0.0,1,0,0,0,0,1290000,1290000,Sony,Bluetooth,32250.0,25800.0
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-jbl-tune-520bt.html,Tai nghe Bluetooth chụp tai JBL Tune 520BT,1.360.000đ,0.05782312925170068,Jbl,over-ear,0,1,0,Type C+Bluetooth,1.5789473684210527,0.5469845722300141,1,0,0,0,0,1360000,1360000,Jbl,Type C+Bluetooth,8662.420382165605,23859.64912280702
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-sony-wh-ch720n.html,Tai nghe Bluetooth chụp tai Sony WH-CH720N,2.990.000đ,0.6122448979591837,Sony,over-ear,0,1,0,3.5mm+Bluetooth,0.42105263157894735,0.710612435717625,1,0,0,0,0,2990000,2990000,Sony,3.5mm+Bluetooth,15572.916666666666,85428.57142857143
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-bose-quietcomfort-ultra-gen-2.html,Tai nghe chụp tai Bose Quietcomfort Ultra Gen 2,10.990.000đ,2.2823129251700682,Bose,over-ear,0,0,0,3.5mm,,-0.15731650303880318,0,0,0,0,1,7900000,10990000,Other,3.5mm,1244094.4881889764,
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-marshall-major-5.html,Tai nghe Bluetooth chụp tai Marshall Major 5,4.220.000đ,1.030612244897959,Marshall,over-ear,0,1,0,3.5mm+Bluetooth,2.1315789473684212,0.6825619448340345,1,0,0,0,0,4220000,4220000,Other,3.5mm+Bluetooth,22688.172043010753,62518.51851851852
cellphones,https://cellphones.com.vn/tai-nghe-bluetooth-edifier-w820nb-plus.html,Tai nghe Bluetooth chụp tai Edifier W820NB Plus,1.690.000đ,0.17006802721088435,Edifier,over-ear,0,1,0,Bluetooth,1.1578947368421053,0.8461898083216456,1,0,0,0,0,1690000,1690000,Edifier,Bluetooth,7647.058823529412,34489.795918367345
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-havit-h619bt.html,Tai nghe Bluetooth chụp tai Havit H619BT,300.000đ,-0.30272108843537415,Havit,over-ear,0,1,0,Bluetooth,-0.3684210526315789,0.7807386629266012,1,0,0,0,0,300000,300000,Havit,Bluetooth,1449.2753623188405,15000.0
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-sony-wh-ult900n.html,Tai nghe chụp tai Sony WH-ULT900N,4.490.000đ,1.1224489795918366,Sony,over-ear,0,0,0,3.5mm,,1.0051425899953248,0,0,0,0,0,4490000,4490000,Sony,3.5mm,17607.843137254902,
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-anker-soundcore-space-one.html,Tai nghe Bluetooth chụp tai Anker Soundcore Space One,2.150.000đ,0.32653061224489793,Anker,over-ear,0,1,0,Bluetooth,0.6842105263157895,1.0285179990649835,1,0,0,0,0,2150000,2150000,Other,Bluetooth,8269.23076923077,53750.0
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-beats-solo-4.html,Tai nghe Bluetooth chụp tai Beats Solo 4,4.990.000đ,1.2925170068027212,Apple,over-ear,0,1,0,3.5mm+Bluetooth,-1.2105263157894737,-0.0640486208508649,1,0,0,0,1,4990000,4990000,Other,3.5mm+Bluetooth,189733.84030418252,1247500.0
cellphones,https://cellphones.com.vn/tai-nghe-gaming-havit-h2040d.html,Tai nghe chụp tai có dây Gaming Havit H2040D,400.000đ,-0.2687074829931973,Havit,over-ear,1,0,0,3.5mm,,0.7807386629266012,0,0,1,1,0,400000,400000,Havit,3.5mm,1932.3671497584542,
cellphones,https://cellphones.com.vn/tai-nghe-gaming-hyperx-cloud-stinger-ii-core.html,Tai nghe chụp tai Gaming Hyperx Cloud Stinger 2 Core,870.000đ,-0.10884353741496598,Hyperx,over-ear,1,0,0,3.5mm,,1.168770453482936,0,0,0,1,0,870000,870000,Other,3.5mm,3000.0,
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-havit-h630bt.html,Tai nghe Bluetooth chụp tai Havit H630BT,470.000đ,-0.24489795918367346,Havit,over-ear,0,1,0,3.5mm+Bluetooth,0.5973684210526317,0.7807386629266012,1,0,0,0,0,470000,470000,Havit,3.5mm+Bluetooth,2270.5314009661834,12255.54106910039
cellphones,https://cellphones.com.vn/tai-nghe-bluetooth-chup-tai-havit-h670bt-anc.html,Tai nghe bluetooth chụp tai Havit H670BT ANC (Space S1),1.750.000đ,0.19047619047619047,Havit,over-ear,0,1,0,3.5mm+Bluetooth,2.1315789473684212,1.01916783543712,1,0,0,0,0,1750000,1750000,Havit,3.5mm+Bluetooth,6782.945736434109,25925.925925925927
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-bose-quietcomfort-ultra.html,Tai nghe Bluetooth chụp tai Bose QuietComfort Ultra,10.790.000đ,2.2823129251700682,Bose,over-ear,0,1,0,3.5mm+Bluetooth,-0.15789473684210525,0.9817671809256662,1,0,0,0,0,7900000,10790000,Other,3.5mm+Bluetooth,31600.0,329166.6666666667
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-sennheiser-momentum-4.html,Tai nghe Bluetooth chụp tai Sennheiser MOMENTUM 4,9.499.000đ,2.2823129251700682,Sennheiser,over-ear,0,1,0,3.5mm+Bluetooth,1.736842105263158,0.9256661991584852,1,0,0,0,0,7900000,9499000,Sennheiser,3.5mm+Bluetooth,33193.27731092437,131666.66666666666
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-anker-soundcore-space-h30i-a3012.html,Tai nghe chụp tai Anker Soundcore Space H30i - A3012,990.000đ,-0.06802721088435375,Anker,over-ear,0,0,0,3.5mm,,0.6685366993922394,0,0,0,0,0,990000,990000,Other,3.5mm,5409.836065573771,
cellphones,https://cellphones.com.vn/tai-nghe-apple-earpods-myqy3za-a-type-c.html,Tai nghe Apple EarPods USB-C MYQY3ZA/A | Chính hãng Apple Việt Nam,540.000đ,-0.22108843537414966,Apple,in-ear,0,0,0,Type C,,-0.0640486208508649,0,1,0,1,1,540000,540000,Other,Type C,20532.319391634985,
cellphones,https://cellphones.com.vn/tai-nghe-nhet-tai-samsung-eo-ic-100-type-c.html,Tai nghe nhét tai Samsung EO-IC100 Type C,550.000đ,-0.21768707482993196,Samsung,in-ear,0,0,0,Type C,,-0.16175783076203834,0,0,0,1,1,550000,550000,Other,Type C,101851.85185185184,
cellphones,https://cellphones.com.vn/tai-nghe-gaming-hyperx-cloud-earbuds-2.html,Tai nghe có dây Gaming Hyperx Cloud Earbuds 2,970.000đ,-0.07482993197278912,Hyperx,in-ear,1,0,0,3.5mm,,1.168770453482936,0,0,0,1,1,970000,970000,Other,3.5mm,3344.8275862068967,
cellphones,https://cellphones.com.vn/tai-nghe-co-day-xiaomi-type-c.html,Tai nghe có dây Xiaomi Type-C,169.000đ,-0.34727891156462587,Xiaomi,in-ear,0,0,0,Type C,,-0.1238896680691912,0,0,0,1,0,169000,169000,Xiaomi,Type C,12518.518518518518,
