source,url,name,price_raw,price_vnd,is_gaming,is_wireless,has_mic,connection,battery_life_hours,weight_gram,battery_applicable,type_was_missing,connection_was_missing,battery_life_hours_was_missing,weight_gram_was_missing,price_vnd_capped,price_vnd_original,price_per_gram,price_per_battery_hour,brand_grouped_Apple,brand_grouped_Asus,brand_grouped_Baseus,brand_grouped_Edifier,brand_grouped_Havit,brand_grouped_Huawei,brand_grouped_Hãng Khác,brand_grouped_Jbl,brand_grouped_Logitech,brand_grouped_Other,brand_grouped_Razer,brand_grouped_Sennheiser,brand_grouped_Sony,brand_grouped_Soundpeats,brand_grouped_Xiaomi,type_over-ear,connection_grouped_3.5mm+Bluetooth,connection_grouped_3.5mm+USB-A,connection_grouped_Bluetooth,connection_grouped_Other,connection_grouped_Type C,connection_grouped_Type C+Bluetooth,connection_grouped_USB-A,connection_grouped_USB-A+Bluetooth
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-sony-wh-1000xm6.html,Tai nghe Bluetooth chụp tai Sony WH-1000XM6,11.990.000đ,7900000,0,1,0,3.5mm+Bluetooth,40.0,254.0,1,0,0,0,0,7900000,11990000,31102.36220472441,197500.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-sennheiser-hdb-630.html,Tai nghe chụp tai Sennheiser HDB 630,14.900.000đ,7900000,0,0,0,3.5mm,,238.0,0,0,1,0,0,7900000,14900000,33193.27731092437,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-sony-wh-1000xm5.html,Tai nghe Bluetooth chụp tai Sony WH-1000XM5,7.990.000đ,7900000,0,1,1,Bluetooth,40.0,250.0,1,0,0,0,0,7900000,7990000,31600.0,197500.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-sony-wh-ch520.html,Tai nghe Bluetooth chụp tai Sony WH-CH520,1.290.000đ,1290000,0,1,0,Bluetooth,50.0,40.0,1,0,0,0,0,1290000,1290000,32250.0,25800.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-jbl-tune-520bt.html,Tai nghe Bluetooth chụp tai JBL Tune 520BT,1.360.000đ,1360000,0,1,0,Type C+Bluetooth,57.0,157.0,1,0,0,0,0,1360000,1360000,8662.420382165605,23859.64912280702,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-sony-wh-ch720n.html,Tai nghe Bluetooth chụp tai Sony WH-CH720N,2.990.000đ,2990000,0,1,0,3.5mm+Bluetooth,35.0,192.0,1,0,0,0,0,2990000,2990000,15572.916666666666,85428.57142857143,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-bose-quietcomfort-ultra-gen-2.html,Tai nghe chụp tai Bose Quietcomfort Ultra Gen 2,10.990.000đ,7900000,0,0,0,3.5mm,,6.35,0,0,0,0,1,7900000,10990000,1244094.4881889764,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-marshall-major-5.html,Tai nghe Bluetooth chụp tai Marshall Major 5,4.220.000đ,4220000,0,1,0,3.5mm+Bluetooth,67.5,186.0,1,0,0,0,0,4220000,4220000,22688.172043010756,62518.51851851852,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-bluetooth-edifier-w820nb-plus.html,Tai nghe Bluetooth chụp tai Edifier W820NB Plus,1.690.000đ,1690000,0,1,0,Bluetooth,49.0,221.0,1,0,0,0,0,1690000,1690000,7647.058823529412,34489.795918367345,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-havit-h619bt.html,Tai nghe Bluetooth chụp tai Havit H619BT,300.000đ,300000,0,1,0,Bluetooth,20.0,207.0,1,0,0,0,0,300000,300000,1449.2753623188405,15000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
