column,dtype,non_null_count,missing_count,missing_%
battery_life_hours,float64,825,347,29.61
battery_applicable,int64,1172,0,0.0
battery_life_hours_was_missing,int64,1172,0,0.0
brand,object,1172,0,0.0
connection,object,1172,0,0.0
connection_was_missing,int64,1172,0,0.0
has_mic,int64,1172,0,0.0
is_gaming,int64,1172,0,0.0
is_wireless,int64,1172,0,0.0
name,object,1172,0,0.0
price_raw,object,1172,0,0.0
price_vnd,int64,1172,0,0.0
source,object,1172,0,0.0
type,object,1172,0,0.0
type_was_missing,int64,1172,0,0.0
url,object,1172,0,0.0
weight_gram,float64,1172,0,0.0
weight_gram_was_missing,int64,1172,0,0.0
