source,url,name,price_raw,price_vnd,brand,type,is_gaming,is_wireless,has_mic,connection,battery_life_hours,weight_gram
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-nhet-tai-devia-cong-lightning,Tai nghe nhét tai Devia Cổng Lightning - Chính hãng,250.000 ₫,250000,Devia,in-ear,0,0,0,"1 thiết bị, Không có",,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-bluetooth-ueelr-yw03,Tai nghe Bluetooth UEELR YW03,350.000 ₫,350000,UEELR,,0,1,0,Bluetooth 5.3,,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-bluetooth-soundpeats-air5,Tai nghe Bluetooth SoundPEATS Air5,1.350.000 ₫,1350000,SoundPEATS,,0,1,0,"2 thiết bị, Bluetooth 5.4",30,3.8
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-bluetooth-soundpeats-life,Tai nghe Bluetooth Soundpeats Life - Chính hãng,590.000 ₫,590000,SoundPEATS,,0,1,0,"Bluetooth 5.2, 1 thiết bị",25,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-sennheiser-accentum-open,Tai nghe Sennheiser ACCENTUM Open,2.290.000 ₫,2290000,Sennheiser,,0,0,0,Bluetooh 5.3,22,29.3
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-day-yookie-yk66,Tai nghe dây Yookie YK66,50.000 ₫,50000,Yookie,,0,0,0,1 thiết bị,,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-tws-havit-tw931,Tai Nghe TWS HAVIT TW931,220.000 ₫,220000,HAVIT,,0,1,0,"Không, Bluetooth 5.4",6,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-tws-havit-tw917,Tai nghe TWS HAVIT TW917,390.000 ₫,390000,HAVIT,,0,1,0,,,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-chup-tai-oneodio-a70-chinh-hang,Tai nghe chụp tai OneOdio A70 - Chính Hãng,790.000 ₫,790000,OneOdio,over-ear,0,1,0,"Bluetooth 5.2, 1 thiết bị",72,250.0
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-khong-day-volwatt-zen,Tai nghe không dây Volwatt Zen,450.000 ₫,450000,Volwatt,,0,0,0,,,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-bluetooth-hieu-soundpeats-air5-pro-plus,Tai nghe Bluetooth SoundPeats Air5 Pro+,2.150.000 ₫,2150000,SoundPEATS,,0,1,0,Bluetooh 5.4,,5.04
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-huawei-freeclip-2,Tai nghe HUAWEI FreeClip 2 - Chính hãng,3.790.000 ₫,3790000,Huawei,,0,1,0,"Kết nối Bluetooth đồng thời với hai thiết bị, Bluetooth 6.0",38,5.1
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-tws-nakamichi-hue-tulip,Tai Nghe TWS Nakamichi Hue-Tulip - Chính Hãng,350.000 ₫,350000,Nakamichi,,0,1,1,Bluetooth 5.4,20,44.0
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-headphone-bluetooth-hue-cherry,Tai Nghe Headphone Bluetooth Hue-Cherry - Chính Hãng,449.000 ₫,449000,Nakamichi,,0,1,0,Bluetooh 6.0,60,186.0
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-nhet-tai-devia-smart-earpods-co-mic,Tai nghe nhét tai Devia Smart Earpods có Mic - Chính hãng,99.000 ₫,99000,Devia,in-ear,0,0,1,"1 thiết bị, Không có",,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-chup-tai-oneodio-pro-10-chinh-hang,Tai nghe chụp tai OneOdio Pro 10 - Chính Hãng,550.000 ₫,550000,OneOdio,over-ear,0,0,0,"1 thiết bị, Không có",,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-bluetooth-headphone-havit-i62,Tai nghe Bluetooth Headphone HAVIT i62,330.000 ₫,330000,Havit,,0,1,0,"Bluetooh 5.3, AUX 3.5mm và Bluetooth",8,200.0
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-havit-open-ear-ows907,Tai nghe HAVIT Open-Ear OWS907,249.000 ₫,249000,Havit,,0,0,0,,,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-tws-havit-tw991-pro,Tai nghe TWS HAVIT TW991 Pro - Chính hãng,570.000 ₫,570000,Havit,,0,1,0,Bluetooth 6.0,7,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-tws-havit-tw907-se,Tai Nghe TWS HAVIT TW907 SE,299.000 ₫,299000,HAVIT,,0,1,0,Bluetooth 6.0,22,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-chup-tai-oneodio-pro-c-chinh-hang,Tai nghe chụp tai OneOdio Pro C - Chính Hãng,790.000 ₫,790000,OneOdio,over-ear,0,1,0,"Bluetooth 5.0, 1 thiết bị",110,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-xiaomi-openwear-stereo-pro,Tai nghe Xiaomi OpenWear Stereo Pro,4.390.000 ₫,4390000,Xiaomi,,0,0,0,Bluetooh 5.4,8,9.7
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-bluetooth-soundpeats-air4-chinh-hang,Tai nghe Bluetooth SoundPEATS Air4 - Chính Hãng,790.000 ₫,790000,SoundPEATS,,0,1,0,"Bluetooth 5.3, 2 thiết bị",26,4.0
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-bluetooth-haylou-gt6-chinh-hang,Tai nghe Bluetooth Haylou GT6 - Chính hãng,390.000 ₫,390000,Haylou,,0,1,0,"1 thiết bị, Bluetooth 5.2",20,3.9
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-bluetooth-qcy-t1c-chinh-hang,Tai nghe Bluetooth QCY T1C - Chính Hãng,199.000 ₫,199000,QCY,,0,1,0,"Bluetooth 5.0, 2 thiết bị",20,9.2
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-bluetooth-akg-y100bt-chinh-hang,Tai nghe Tai nghe Bluetooth AKG Y100BT - Chính hãng,1.090.000 ₫,1090000,AKG,,0,1,0,"2 thiết bị, Bluetooth 4.2",8,24.0
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-khong-day-bluetooth-stargo-hero,Tai nghe không dây Bluetooth Stargo Hero,390.000 ₫,390000,Stargo,,0,1,0,Bluetooth 5.4,24,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-bluetooth-true-wireless-soundcore-k20i,Tai nghe Bluetooth True Wireless soundcore K20i,620.000 ₫,620000,Anker,,0,1,0,"1 thiết bị, Bluetooh v5.3",6,3.3
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-sennheiser-cx-80s-chinh-hang,Tai nghe SENNHEISER CX 80S - Chính Hãng,530.000 ₫,530000,Sennheiser,,0,0,0,"1 thiết bị, Không có",,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-chup-tai-gaming-sony-inzone-h7-chinh-hang,Tai nghe chụp tai Gaming Sony Inzone H7 - Chính Hãng,1.990.000 ₫,1990000,Sony,over-ear,1,1,0,"Bluetooth 5.0, 1 thiết bị",40,325.0
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-bluetooth-chup-tai-baseus-bowie-h1i-chinh-hang,Tai nghe Bluetooth chụp tai Baseus Bowie H1i - Chính Hãng,750.000 ₫,750000,Baseus,over-ear,0,1,0,"Bluetooth 5.3, 1 thiết bị",100,226.0
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-tws-havit-life-nc01t-tw984,Tai Nghe TWS HAVIT LIFE NC01T TW984,360.000 ₫,360000,HAVIT,,0,1,0,"2 thiết bị, Bluetooh 5.4",24,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-bluetooth-hieu-havit-model-space-s1,Tai nghe Bluetooth HAVIT Space S1 H670BT,1.500.000 ₫,1500000,HAVIT,,0,1,0,V6.0,100,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-bluetooth-the-thao-havit-ows902,Tai nghe Bluetooth thể thao Havit OWS902,490.000 ₫,490000,Havit,,0,1,0,"Bluetooth 5.3, 1 thiết bị",4,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-bluetooth-philips-tat4556-chinh-hang,Tai nghe Bluetooth PHILIPS TAT4556 - Chính hãng,899.000 ₫,899000,PHILIPS,,0,1,0,"Bluetooth 5.2, 1 thiết bị",20,47.0
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-bluetooth-jbl-t115bt-chinh-hang,Tai nghe Bluetooth JBL T115BT - Chính hãng,199.000 ₫,199000,JBL,,0,1,0,"2 thiết bị, Bluetooth 4.2",8,19.02
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-huawei-freebuds-7i-chinh-hang,Tai nghe HUAWEI FreeBuds 7i - Chính hãng,1.590.000 ₫,1590000,Huawei,,0,0,0,"Có, Bluetooh 5.4",35,5.4
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-bluetooth-soundpeats-q,Tai Nghe Bluetooth Earbuds SoundPeats Q - Chính hãng,390.000 ₫,390000,SoundPEATS,,0,1,0,"Bluetooth 5.0, 1 thiết bị",21,4.5
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-kz-edx-pro-chinh-hang,Tai nghe KZ EDX Pro - Chính Hãng,269.000 ₫,269000,KZ,,0,0,0,"1 thiết bị, Không có",,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-tws-havit-tw969-chinh-hang,Tai nghe TWS Havit TW969 - Chính Hãng,220.000 ₫,220000,Havit,,0,1,0,"Bluetooh 5.3, 1 thiết bị",23,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-bluetooth-earbuds-soundpeats-air3-chinh-hang,Tai Nghe Bluetooth Earbuds SoundPeats Air3- Chính Hãng,690.000 ₫,690000,SoundPeats,,0,1,0,"Bluetooth 5.2, 1 thiết bị",10,4.0
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-gaming-edra-eh416pro-usb-led-rgb,Tai nghe gaming EDRA EH416PRO USB LED RGB,398.000 ₫,398000,EDRA,,1,0,0,,,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-gaming-edra-eh404-usb-led-rgb-chinh-hang,Tai nghe gaming EDRA EH404 USB LED RGB,248.000 ₫,248000,EDRA,,1,0,0,,,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-tws-havit-tw982-life-01t,Tai Nghe TWS HAVIT TW982 Life 01T,220.000 ₫,220000,HAVIT,,0,1,0,Bluetooth 5.4,25,3.9
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-bluetooth-anker-soundcore-q20i-chinh-hang,Tai nghe chụp tai (Không dây) Anker soundcore Q20i - Chính hãng,690.000 ₫,690000,Anker,over-ear,0,1,0,"2 thiết bị, Bluetooth 5.0",60,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-sennheiser-hd-450bt-chinh-hang,Tai nghe chụp tai (Không dây) SENNHEISER HD 450BT - Chính Hãng,2.790.000 ₫,2790000,Sennheiser,over-ear,0,1,0,"Bluetooth 5.0, 1 thiết bị",30,238.0
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-chup-tai-sennheiser-hd-400s-chinh-hang,Tai nghe chụp tai (Có dây) Sennheiser HD 400S - Chính Hãng,1.250.000 ₫,1250000,Sennheiser,over-ear,0,0,0,"1 thiết bị, Không có",,217.0
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-gaming-msi-h991-chinh-hang,Tai nghe chụp tai (Có dây) Gaming MSI H991 - Chính hãng,990.000 ₫,990000,MSI,over-ear,1,0,0,"1 thiết bị, Không có",,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-gaming-co-day-rapoo-vh360-chinh-hang,Tai nghe gaming có dây Rapoo VH360 (USB/RGB LED) - Chính hãng,350.000 ₫,350000,Rapoo,,1,0,0,"1 thiết bị, Không có",,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-gaming-co-day-rapoo-vh710-chinh-hang,Tai nghe chụp tai (Có dây) gaming Rapoo VH710 - Chính hãng,680.000 ₫,680000,Rapoo,over-ear,1,0,0,"1 thiết bị, Không có",,409.0
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-gaming-co-day-rapoo-vh500c-chinh-hang,Tai nghe chụp tai (Có dây) Gaming Rapoo VH500C (USB/RGB LED) - Chính hãng,480.000 ₫,480000,Rapoo,over-ear,1,0,0,"1 thiết bị, Không có",,350.0
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-sennheiser-hd-350bt-chinh-hang,Tai nghe SENNHEISER HD 350BT - Chính Hãng,1.550.000 ₫,1550000,Sennheiser,,0,1,0,"Bluetooth 5.0, 1 thiết bị",30,238.0
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-havit-hv-h2218d-chinh-hang,Tai nghe chụp tai (Có dây) Havit HV - H2218d - Chính hãng,190.000 ₫,190000,Havit,over-ear,0,0,0,"1 thiết bị, Không có",,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-bluetooth-trum-dau-philips-tah4205-chinh-hang,Tai nghe chụp tai (Không dây) PHILIPS TAH4205 - Chính hãng,790.000 ₫,790000,PHILIPS,over-ear,0,1,0,"Bluetooth 5.0, 1 thiết bị",29,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-khong-day-havit-tw971-chinh-hang,Tai nghe không dây Havit TW971 - Chính Hãng,250.000 ₫,250000,Havit,,0,0,0,"Bluetooh 5.3, 1 thiết bị",18,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-bluetooth-myalo-z-one-chinh-hang,Tai nghe Bluetooth myALO Z-One - Chính hãng,390.000 ₫,390000,myALO,,0,1,0,"Bluetooth 5.3, 1 thiết bị",25,3.4
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-bluetooth-myalo-X-one-chinh-hang,Tai nghe Bluetooth myALO X-One - Chính hãng,590.000 ₫,590000,myALO,,0,1,0,"Bluetooth 5.3, 1 thiết bị",25,3.9
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-asus-tuf-gaming-h1-chinh-hang,Tai nghe ASUS TUF Gaming H1 - Chính Hãng,740.000 ₫,740000,Asus,,1,0,0,"1 thiết bị, Không có",,287.0
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-khong-day-hieu-baseus-eli-fit-open-ear,Tai nghe Bluetooth Baseus Eli Fit Open-Ear,480.000 ₫,480000,Baseus,,0,1,0,,,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-redmi-buds-8-active-chinh-hang,Tai nghe Redmi Buds 8 Active - Chính hãng,750.000 ₫,750000,Redmi,,0,1,0,Bluetooth® 5.4,,0.1
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-khong-day-huawei-freebuds-4-chinh-hang,Tai nghe không dây Huawei Freebuds 4 - Chính hãng,,0,Huawei,,0,0,0,"Bluetooh 5.2, 2 thiết bị",26,4.1
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-bluetooth-anker-soundbuds-life-a3270-chinh-hang,Tai nghe Tai Nghe Bluetooth Anker SoundBuds Life - A3270 - Chính hãng,,0,Anker,,0,1,0,"Bluetooth 4.1, 1 thiết bị",20,59.0
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-redmi-buds-6,Tai nghe Redmi Buds 6 - Chính hãng,980.000 ₫,980000,Redmi,,0,1,0,"Không có, Bluetooth 5.4",32,5.0
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-huawei-freebuds-pro-4,Tai nghe Huawei Freebuds Pro 4 - Chính hãng,2.990.000 ₫,2990000,Huawei,,0,0,0,"Có, Bluetooh 5.2",24,5.8
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-bluetooth-true-wireless-earfun-air-life,Tai nghe Bluetooth True Wireless EarFun Air Life,350.000 ₫,350000,EarFun,,0,1,0,,,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-kz-zsn-pro-x-chinh-hang,Tai nghe KZ ZSN Pro X - Chính Hãng,550.000 ₫,550000,KZ,,0,0,0,"1 thiết bị, Không có",,
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-tws-nakamichi-tw016,Tai Nghe TWS Nakamichi TW016 - Chính hãng,220.000 ₫,220000,Nakamichi,,0,1,1,Bluetooth 6.0,20,3.0
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-chup-tai-havit-h2590bt-pro-chinh-hang,Tai nghe chụp tai Havit H2590BT Pro - Chính Hãng,250.000 ₫,250000,Havit,over-ear,0,1,0,"Bluetooth 5.1, 1 thiết bị",4,150.0
hoanghamobile,https://hoanghamobile.com/tai-nghe/tai-nghe-bluetooth-chup-tai-soundpeats-space,Tai nghe Bluetooth chụp tai SoundPEATS Space,950.000 ₫,950000,SoundPEATS,over-ear,0,1,0,"Bluetooth 5.3, 2 thiết bị",123,264.0
