source,url,name,price_raw,price_vnd,brand,type,is_gaming,is_wireless,has_mic,connection,battery_life_hours,weight_gram
phongvu,https://phongvu.vn/tai-nghe-gaming-khong-day-choang-dau-logitech-g325-981-001532-trang--s260300171,Tai nghe Gaming không dây choàng đầu Logitech G325 (981-001532) (Trắng),2.490.000 ₫,2490000,Logitech,over-ear,1,1,1,"Bluetooth 5.2, LIGHTSPEED Wireless",,212.0
phongvu,https://phongvu.vn/tai-nghe-khong-day-choang-dau-havit-h603bt-den--s260202541,Tai nghe không dây choàng đầu Havit H603BT (Đen),289.000 ₫,289000,Havit,over-ear,0,1,0,Bluetooth 6.0,,182.0
phongvu,https://phongvu.vn/tai-nghe-open-ear-khong-day-tws-havit-ows929-den--s260202542,Tai nghe Open-ear không dây TWS Havit OWS929 (Đen),310.000 ₫,310000,Havit,,0,1,0,Bluetooth 6.0,,4.36
phongvu,https://phongvu.vn/tai-nghe-khong-day-tws-havit-life-04t-tim--s260202534,Tai nghe không dây TWS Havit LIFE 04T (Tím),239.000 ₫,239000,Havit,in-ear,0,1,1,Bluetooth 6.0,,4.3
phongvu,https://phongvu.vn/tai-nghe-khong-day-tws-havit-tw992-xam--s260200516,Tai nghe không dây TWS Havit TW992 (Xám),360.000 ₫,360000,Havit,in-ear,0,1,1,Bluetooth 5.4,,10.0
phongvu,https://phongvu.vn/tai-nghe-co-day-havit-e336c-den--s260200510,Tai nghe có dây Havit E336C Type-C (Đen),99.000 ₫,99000,Havit,in-ear,0,0,0,USB Type-C,,10.0
phongvu,https://phongvu.vn/tai-nghe-open-ear-khong-day-tws-havit-owsfit-02a-den-xam--s260200511,Tai nghe Open-ear không dây TWS Havit OWSFIT 02A (Đen xám),490.000 ₫,490000,Havit,in-ear,0,1,0,Bluetooth 5.4,,90.0
phongvu,https://phongvu.vn/tai-nghe-gaming-co-day-choang-dau-havit-h2040d-den--s260200505,Tai nghe Gaming có dây choàng đầu Havit H2040D (Đen),269.000 ₫,269000,Havit,over-ear,1,0,1,3.5 mm,,314.0
phongvu,https://phongvu.vn/tai-nghe-khong-day-choang-dau-sony-wh-1000xm6-pme-hong--s260108840?selectPromotionId=2074736,Tai nghe không dây choàng đầu Sony WH-1000XM6/PME (Hồng),9.890.000 ₫,9890000,Sony,over-ear,0,1,1,Bluetooth 5.3,,254.0
phongvu,https://phongvu.vn/tai-nghe-gaming-co-day-choang-dau-mchose-g9-mc-g9-1-black--s260102083,Tai nghe Gaming Có Dây choàng đầu MCHOSE G9 MC-G9-1 (Đen),599.000 ₫,599000,Mchose,over-ear,1,0,1,USB,,220.0
phongvu,https://phongvu.vn/tai-nghe-gaming-khong-day-choang-dau-mchose-v9-pro--p840913?sku=260102067,Tai nghe Gaming Không Dây choàng đầu MCHOSE V9 Pro HW-V9-4 (Black Red),1.190.000 ₫,1190000,Mchose,over-ear,1,1,1,"Bluetooth, USB Type-C, 2.4 GHz Wireless",,275.0
phongvu,https://phongvu.vn/tai-nghe-bluetooth-tws-anker-soundcore-r60i-nc-d1202-hong--s260102054,Tai nghe Bluetooth TWS Anker Soundcore R60i NC - D1202 (Hồng),649.000 ₫,649000,Anker,in-ear,0,1,1,Bluetooth 6.1,,60.0
phongvu,https://phongvu.vn/tai-nghe-gaming-khong-day-choang-dau-corsair-hs55-core-ca-9011290-ap-den--s251211494,Tai Nghe Gaming Không Dây choàng đầu Corsair HS55 Core (CA-9011290-AP) (Đen),1.489.000 ₫,1489000,Corsair,over-ear,1,1,1,"Bluetooth, 2.4 GHz Wireless",,
phongvu,https://phongvu.vn/tai-nghe-chup-tai-bluetooth-havit-h672bt-be--s251209894?selectPromotionId=2074801,Tai nghe chụp tai Bluetooth Havit H672BT (Be),479.000 ₫,479000,Havit,over-ear,0,1,1,Bluetooth 5.3,,210.0
phongvu,https://phongvu.vn/tai-nghe-gaming-co-day-razer-hammerhead-v3-rz12-05590200-r3ac-white-edition--s251208420,Tai nghe Gaming có dây Razer Hammerhead V3 RZ12-05590200-R3AC - White Edition,1.189.000 ₫,1189000,Razer,in-ear,1,0,1,3.5 mm,,25.0
phongvu,https://phongvu.vn/tai-nghe-gaming-co-day-choang-dau-aula-s608-den--s251202053,Tai nghe Gaming có dây choàng đầu AULA S608 (Đen),399.000 ₫,399000,Aula,over-ear,1,0,1,USB,,290.0
phongvu,https://phongvu.vn/tai-nghe-gaming-khong-day-choang-dau-sony-inzone-h9-ii--p824653?sku=251113497&selectPromotionId=2078811,Tai nghe Gaming không dây choàng đầu Sony INZONE H9 II WH-G910N/WZ E (Trắng),6.990.000 ₫,6990000,Sony,over-ear,1,1,1,"2.4 GHz Wireless, Bluetooth 5.3",,260.0
phongvu,https://phongvu.vn/tai-nghe-in-ear-co-day-sony-inzone-e9--p824641?sku=251113492&selectPromotionId=2078812,Tai nghe Gaming in - ear có dây Sony INZONE E9 IER-G900/BZ E (Đen),3.290.000 ₫,3290000,Sony,in-ear,1,0,1,3.5 mm,,4.7
phongvu,https://phongvu.vn/tai-nghe-gaming-co-day-choang-dau-sony-inzone-h3-mdr-g300-bz-den--s251113485?selectPromotionId=2078807,Tai nghe Gaming có dây Choàng đầu Sony INZONE H3 MDR-G300/BZ E (Đen),1.190.000 ₫,1190000,Sony,over-ear,1,0,1,,,299.0
phongvu,https://phongvu.vn/tai-nghe-bluetooth-anker-soundcore-k20i-a3994--p818380?sku=251107213,Tai Nghe Bluetooth TWS Anker Soundcore K20i - A3994 đen,310.000 ₫,310000,Anker,in-ear,0,1,1,Bluetooth 5.3,,3.3
phongvu,https://phongvu.vn/tai-nghe-gaming-co-day-asus-tuf-h1-gen-ii-hatsune-miku-edition--s251107206,Tai nghe Gaming có dây ASUS TUF H1 Gen II - Hatsune Miku Edition,2.080.000 ₫,2080000,Asus,over-ear,1,0,1,USB,,297.0
phongvu,https://phongvu.vn/tai-nghe-khong-day-choang-dau-baseus-bowie-h1s--p813996?sku=251103285,Tai nghe không dây choàng đầu Baseus Bowie H1s (Đen),680.000 ₫,680000,Baseus,over-ear,0,1,1,Bluetooth 5.4,,279.0
phongvu,https://phongvu.vn/tai-nghe-co-day-sony-ier-ex15c--p812848?sku=251102023,Tai nghe có dây Sony IER-EX15C (Đen),515.000 ₫,515000,Sony,in-ear,0,0,1,USB Type-C,,3.0
phongvu,https://phongvu.vn/tai-nghe-gaming-khong-day-choang-dau-logitech-g321--p807316?sku=251017436,Tai nghe Gaming không dây choàng đầu Logitech G321 981-001570 (Trắng),,0,Logitech,over-ear,1,1,1,"LIGHTSPEED Wireless, Bluetooth 5.2",20,210.0
phongvu,https://phongvu.vn/tai-nghe-gaming-co-day-choang-dau-razer-kraken-kitty-v3-x-quartz-edition-rz04-05350100-r3m1-dai-tan-20-hz-20-khz-model-rz04-0535--s251011310,Tai nghe Gaming có dây choàng đầu Razer Kraken Kitty V3 X - Quartz Edition RZ04-05350100-R3M1 (Hồng),1.750.000 ₫,1750000,Razer,over-ear,1,0,1,3.5 mm,,270.0
phongvu,https://phongvu.vn/tai-nghe-gaming-khong-day-choang-dau-razer-barracuda-x-chroma--p799450?sku=251011312,Tai nghe Gaming không dây choàng đầu Razer Barracuda X Chroma RZ04-05220100-R3M1 (Đen),,0,Razer,over-ear,1,1,1,"Bluetooth, 2.4 GHz Wireless",,285.0
phongvu,https://phongvu.vn/tai-nghe-gaming-khong-day-choang-dau-razer-barracuda-x-chroma-phantom-white-edition-rz04-05220400-r3m1--s251011304,Tai nghe Gaming không dây choàng đầu Razer Barracuda X Chroma - Phantom White Edition (RZ04-05220400-R3M1),3.370.000 ₫,3370000,Razer,over-ear,1,1,1,"Bluetooth, 2.4 GHz Wireless",,285.0
phongvu,https://phongvu.vn/tai-nghe-co-day-in-ear-kz-gale-den--s250911705,Tai nghe có dây in-ear KZ Gale (Đen),280.000 ₫,280000,KZ,in-ear,0,0,1,3.5 mm,,50.0
phongvu,https://phongvu.vn/tai-nghe-co-day-in-ear-kz-edc-pro-xam--s250911706,Tai nghe có dây in-ear KZ EDC Pro (Xám),200.000 ₫,200000,KZ,in-ear,0,0,1,3.5 mm,,50.0
phongvu,https://phongvu.vn/tai-nghe-apple-airpods-pro-3-mfhp4zp-a--s250902982?selectPromotionId=1863666,Tai nghe Apple Airpods Pro 3 (MFHP4ZP/A),6.490.000 ₫,6490000,Apple,in-ear,0,1,1,Bluetooth 5.3,,5.55
phongvu,https://phongvu.vn/tai-nghe-khong-day-tws-sony-wf1000xm5--p771726?sku=250808559&selectPromotionId=2047523,Tai nghe không dây TWS Sony WF-1000XM5/BCE (Đen),5.350.000 ₫,5350000,Sony,in-ear,0,1,1,Bluetooth 5.3,,50.8
phongvu,https://phongvu.vn/tai-nghe-khong-day-tws-sony-wf-ls910n-gze-xanh-la--s250808557?selectPromotionId=2047520,Tai nghe không dây TWS Sony Linkbuds Fit WF-LS910N/GZE (Xanh lá),3.450.000 ₫,3450000,Sony,in-ear,0,1,1,Bluetooth 5.3,,50.8
